CustomerKey,CustomerID,CompanyName,Industry,CustomerTier,CreditLimit
1,CUST-00001,Company_1 Lda,Pharmaceutical,Bronze,50000
2,CUST-00002,Company_2 Lda,Manufacturing,Bronze,50000
3,CUST-00003,Company_3 Lda,E-commerce,Bronze,10000
4,CUST-00004,Company_4 Lda,Food Distributor,Bronze,50000
5,CUST-00005,Company_5 Lda,Retail,Bronze,50000
6,CUST-00006,Company_6 Lda,Retail,Bronze,150000
7,CUST-00007,Company_7 Lda,Retail,Bronze,150000
8,CUST-00008,Company_8 Lda,E-commerce,Bronze,10000
9,CUST-00009,Company_9 Lda,Food Distributor,Silver,50000
10,CUST-00010,Company_10 Lda,E-commerce,Silver,10000
11,CUST-00011,Company_11 Lda,Retail,Silver,50000
12,CUST-00012,Company_12 Lda,Manufacturing,Silver,10000
13,CUST-00013,Company_13 Lda,E-commerce,Gold,10000
14,CUST-00014,Company_14 Lda,Retail,Bronze,10000
15,CUST-00015,Company_15 Lda,Retail,Bronze,50000
16,CUST-00016,Company_16 Lda,Retail,Bronze,10000
17,CUST-00017,Company_17 Lda,Pharmaceutical,Silver,50000
18,CUST-00018,Company_18 Lda,Food Distributor,Silver,10000
19,CUST-00019,Company_19 Lda,Automotive,Bronze,10000
20,CUST-00020,Company_20 Lda,Retail,Gold,50000
21,CUST-00021,Company_21 Lda,Food Distributor,Bronze,10000
22,CUST-00022,Company_22 Lda,Retail,Gold,10000
23,CUST-00023,Company_23 Lda,Retail,Bronze,50000
24,CUST-00024,Company_24 Lda,Pharmaceutical,Bronze,10000
25,CUST-00025,Company_25 Lda,Automotive,Bronze,10000
26,CUST-00026,Company_26 Lda,E-commerce,Bronze,10000
27,CUST-00027,Company_27 Lda,Retail,Bronze,150000
28,CUST-00028,Company_28 Lda,Food Distributor,Bronze,50000
29,CUST-00029,Company_29 Lda,Food Distributor,Silver,50000
30,CUST-00030,Company_30 Lda,Retail,Bronze,50000
31,CUST-00031,Company_31 Lda,Food Distributor,Bronze,10000
32,CUST-00032,Company_32 Lda,Retail,Silver,10000
33,CUST-00033,Company_33 Lda,Retail,Silver,50000
34,CUST-00034,Company_34 Lda,Manufacturing,Bronze,10000
35,CUST-00035,Company_35 Lda,Manufacturing,Bronze,10000
36,CUST-00036,Company_36 Lda,E-commerce,Bronze,10000
37,CUST-00037,Company_37 Lda,Pharmaceutical,Bronze,10000
38,CUST-00038,Company_38 Lda,Retail,Silver,500000
39,CUST-00039,Company_39 Lda,Food Distributor,Bronze,10000
40,CUST-00040,Company_40 Lda,Automotive,Bronze,50000
41,CUST-00041,Company_41 Lda,Retail,Silver,10000
42,CUST-00042,Company_42 Lda,Automotive,Bronze,500000
43,CUST-00043,Company_43 Lda,Retail,Bronze,10000
44,CUST-00044,Company_44 Lda,Manufacturing,Bronze,10000
45,CUST-00045,Company_45 Lda,Retail,Gold,50000
46,CUST-00046,Company_46 Lda,Food Distributor,Bronze,50000
47,CUST-00047,Company_47 Lda,Pharmaceutical,Silver,10000
48,CUST-00048,Company_48 Lda,Food Distributor,Bronze,10000
49,CUST-00049,Company_49 Lda,Food Distributor,Bronze,10000
50,CUST-00050,Company_50 Lda,Retail,Silver,10000
51,CUST-00051,Company_51 Lda,Manufacturing,Gold,10000
52,CUST-00052,Company_52 Lda,E-commerce,Silver,10000
53,CUST-00053,Company_53 Lda,Manufacturing,Silver,10000
54,CUST-00054,Company_54 Lda,E-commerce,Silver,10000
55,CUST-00055,Company_55 Lda,Food Distributor,Bronze,50000
56,CUST-00056,Company_56 Lda,Manufacturing,Bronze,500000
57,CUST-00057,Company_57 Lda,Retail,Silver,50000
58,CUST-00058,Company_58 Lda,Retail,Bronze,10000
59,CUST-00059,Company_59 Lda,Retail,Silver,10000
60,CUST-00060,Company_60 Lda,Pharmaceutical,Gold,500000
61,CUST-00061,Company_61 Lda,Pharmaceutical,Bronze,10000
62,CUST-00062,Company_62 Lda,Retail,Bronze,10000
63,CUST-00063,Company_63 Lda,E-commerce,Silver,50000
64,CUST-00064,Company_64 Lda,Pharmaceutical,Bronze,50000
65,CUST-00065,Company_65 Lda,Retail,Silver,50000
66,CUST-00066,Company_66 Lda,Food Distributor,Bronze,10000
67,CUST-00067,Company_67 Lda,Retail,Silver,10000
68,CUST-00068,Company_68 Lda,E-commerce,Bronze,500000
69,CUST-00069,Company_69 Lda,Retail,Silver,10000
70,CUST-00070,Company_70 Lda,Manufacturing,Bronze,50000
71,CUST-00071,Company_71 Lda,E-commerce,Bronze,50000
72,CUST-00072,Company_72 Lda,Retail,Bronze,50000
73,CUST-00073,Company_73 Lda,Retail,Silver,10000
74,CUST-00074,Company_74 Lda,E-commerce,Silver,10000
75,CUST-00075,Company_75 Lda,E-commerce,Bronze,50000
76,CUST-00076,Company_76 Lda,E-commerce,Bronze,150000
77,CUST-00077,Company_77 Lda,E-commerce,Bronze,150000
78,CUST-00078,Company_78 Lda,Retail,Silver,10000
79,CUST-00079,Company_79 Lda,Pharmaceutical,Silver,10000
80,CUST-00080,Company_80 Lda,Retail,Bronze,150000
81,CUST-00081,Company_81 Lda,E-commerce,Bronze,50000
82,CUST-00082,Company_82 Lda,Food Distributor,Bronze,150000
83,CUST-00083,Company_83 Lda,Pharmaceutical,Bronze,10000
84,CUST-00084,Company_84 Lda,Retail,Bronze,50000
85,CUST-00085,Company_85 Lda,Pharmaceutical,Gold,50000
86,CUST-00086,Company_86 Lda,Pharmaceutical,Bronze,50000
87,CUST-00087,Company_87 Lda,E-commerce,Silver,10000
88,CUST-00088,Company_88 Lda,Food Distributor,Bronze,10000
89,CUST-00089,Company_89 Lda,E-commerce,Bronze,50000
90,CUST-00090,Company_90 Lda,Automotive,Silver,10000
91,CUST-00091,Company_91 Lda,Retail,Silver,10000
92,CUST-00092,Company_92 Lda,E-commerce,Gold,500000
93,CUST-00093,Company_93 Lda,E-commerce,Bronze,10000
94,CUST-00094,Company_94 Lda,Food Distributor,Bronze,150000
95,CUST-00095,Company_95 Lda,E-commerce,Silver,10000
96,CUST-00096,Company_96 Lda,Automotive,Bronze,50000
97,CUST-00097,Company_97 Lda,Food Distributor,Bronze,500000
98,CUST-00098,Company_98 Lda,Automotive,Bronze,10000
99,CUST-00099,Company_99 Lda,Retail,Bronze,10000
100,CUST-00100,Company_100 Lda,Retail,Silver,10000
101,CUST-00101,Company_101 Lda,Retail,Bronze,10000
102,CUST-00102,Company_102 Lda,Food Distributor,Bronze,50000
103,CUST-00103,Company_103 Lda,Pharmaceutical,Bronze,150000
104,CUST-00104,Company_104 Lda,Food Distributor,Bronze,10000
105,CUST-00105,Company_105 Lda,Manufacturing,Bronze,10000
106,CUST-00106,Company_106 Lda,Retail,Bronze,10000
107,CUST-00107,Company_107 Lda,Automotive,Bronze,50000
108,CUST-00108,Company_108 Lda,E-commerce,Silver,10000
109,CUST-00109,Company_109 Lda,Retail,Bronze,50000
110,CUST-00110,Company_110 Lda,Retail,Bronze,50000
111,CUST-00111,Company_111 Lda,Retail,Silver,50000
112,CUST-00112,Company_112 Lda,Retail,Silver,10000
113,CUST-00113,Company_113 Lda,Manufacturing,Bronze,50000
114,CUST-00114,Company_114 Lda,E-commerce,Bronze,10000
115,CUST-00115,Company_115 Lda,Food Distributor,Bronze,10000
116,CUST-00116,Company_116 Lda,E-commerce,Silver,150000
117,CUST-00117,Company_117 Lda,E-commerce,Gold,50000
118,CUST-00118,Company_118 Lda,Retail,Silver,10000
119,CUST-00119,Company_119 Lda,E-commerce,Bronze,10000
120,CUST-00120,Company_120 Lda,Food Distributor,Silver,10000
121,CUST-00121,Company_121 Lda,E-commerce,Bronze,10000
122,CUST-00122,Company_122 Lda,E-commerce,Bronze,10000
123,CUST-00123,Company_123 Lda,Pharmaceutical,Bronze,10000
124,CUST-00124,Company_124 Lda,Retail,Gold,10000
125,CUST-00125,Company_125 Lda,Retail,Bronze,50000
126,CUST-00126,Company_126 Lda,Automotive,Silver,50000
127,CUST-00127,Company_127 Lda,E-commerce,Bronze,50000
128,CUST-00128,Company_128 Lda,E-commerce,Bronze,10000
129,CUST-00129,Company_129 Lda,Retail,Bronze,500000
130,CUST-00130,Company_130 Lda,Food Distributor,Bronze,150000
131,CUST-00131,Company_131 Lda,Automotive,Silver,150000
132,CUST-00132,Company_132 Lda,Retail,Bronze,150000
133,CUST-00133,Company_133 Lda,Retail,Silver,150000
134,CUST-00134,Company_134 Lda,Pharmaceutical,Silver,50000
135,CUST-00135,Company_135 Lda,Manufacturing,Gold,10000
136,CUST-00136,Company_136 Lda,Pharmaceutical,Bronze,50000
137,CUST-00137,Company_137 Lda,Food Distributor,Bronze,50000
138,CUST-00138,Company_138 Lda,E-commerce,Bronze,50000
139,CUST-00139,Company_139 Lda,Pharmaceutical,Gold,50000
140,CUST-00140,Company_140 Lda,Manufacturing,Gold,10000
141,CUST-00141,Company_141 Lda,Manufacturing,Bronze,10000
142,CUST-00142,Company_142 Lda,Retail,Silver,150000
143,CUST-00143,Company_143 Lda,Automotive,Bronze,50000
144,CUST-00144,Company_144 Lda,Pharmaceutical,Silver,50000
145,CUST-00145,Company_145 Lda,Retail,Bronze,10000
146,CUST-00146,Company_146 Lda,Retail,Silver,10000
147,CUST-00147,Company_147 Lda,Food Distributor,Bronze,150000
148,CUST-00148,Company_148 Lda,Food Distributor,Silver,50000
149,CUST-00149,Company_149 Lda,Retail,Silver,50000
150,CUST-00150,Company_150 Lda,Retail,Silver,10000
151,CUST-00151,Company_151 Lda,Manufacturing,Bronze,50000
152,CUST-00152,Company_152 Lda,Retail,Bronze,10000
153,CUST-00153,Company_153 Lda,Retail,Bronze,50000
154,CUST-00154,Company_154 Lda,Automotive,Bronze,10000
155,CUST-00155,Company_155 Lda,Manufacturing,Bronze,10000
156,CUST-00156,Company_156 Lda,Retail,Gold,50000
157,CUST-00157,Company_157 Lda,Food Distributor,Bronze,150000
158,CUST-00158,Company_158 Lda,E-commerce,Bronze,10000
159,CUST-00159,Company_159 Lda,Retail,Bronze,150000
160,CUST-00160,Company_160 Lda,E-commerce,Bronze,10000
161,CUST-00161,Company_161 Lda,Pharmaceutical,Silver,10000
162,CUST-00162,Company_162 Lda,Food Distributor,Bronze,10000
163,CUST-00163,Company_163 Lda,Food Distributor,Gold,10000
164,CUST-00164,Company_164 Lda,Food Distributor,Bronze,50000
165,CUST-00165,Company_165 Lda,Retail,Gold,10000
166,CUST-00166,Company_166 Lda,E-commerce,Silver,10000
167,CUST-00167,Company_167 Lda,Pharmaceutical,Bronze,150000
168,CUST-00168,Company_168 Lda,Retail,Gold,10000
169,CUST-00169,Company_169 Lda,Retail,Bronze,50000
170,CUST-00170,Company_170 Lda,Food Distributor,Silver,10000
171,CUST-00171,Company_171 Lda,Food Distributor,Bronze,50000
172,CUST-00172,Company_172 Lda,Retail,Silver,10000
173,CUST-00173,Company_173 Lda,Food Distributor,Silver,10000
174,CUST-00174,Company_174 Lda,Retail,Silver,10000
175,CUST-00175,Company_175 Lda,Food Distributor,Silver,10000
176,CUST-00176,Company_176 Lda,Retail,Bronze,10000
177,CUST-00177,Company_177 Lda,Food Distributor,Bronze,50000
178,CUST-00178,Company_178 Lda,Pharmaceutical,Bronze,150000
179,CUST-00179,Company_179 Lda,Manufacturing,Bronze,150000
180,CUST-00180,Company_180 Lda,Retail,Silver,50000
181,CUST-00181,Company_181 Lda,Pharmaceutical,Bronze,10000
182,CUST-00182,Company_182 Lda,Retail,Gold,10000
183,CUST-00183,Company_183 Lda,Manufacturing,Silver,10000
184,CUST-00184,Company_184 Lda,E-commerce,Silver,10000
185,CUST-00185,Company_185 Lda,Retail,Bronze,50000
186,CUST-00186,Company_186 Lda,Food Distributor,Silver,50000
187,CUST-00187,Company_187 Lda,E-commerce,Gold,10000
188,CUST-00188,Company_188 Lda,Food Distributor,Bronze,10000
189,CUST-00189,Company_189 Lda,Food Distributor,Silver,150000
190,CUST-00190,Company_190 Lda,Retail,Silver,50000
191,CUST-00191,Company_191 Lda,Retail,Bronze,10000
192,CUST-00192,Company_192 Lda,E-commerce,Bronze,150000
193,CUST-00193,Company_193 Lda,Manufacturing,Bronze,500000
194,CUST-00194,Company_194 Lda,Food Distributor,Bronze,10000
195,CUST-00195,Company_195 Lda,Pharmaceutical,Bronze,10000
196,CUST-00196,Company_196 Lda,Pharmaceutical,Bronze,50000
197,CUST-00197,Company_197 Lda,E-commerce,Bronze,150000
198,CUST-00198,Company_198 Lda,E-commerce,Bronze,150000
199,CUST-00199,Company_199 Lda,E-commerce,Gold,10000
200,CUST-00200,Company_200 Lda,E-commerce,Bronze,10000
201,CUST-00201,Company_201 Lda,Food Distributor,Gold,50000
202,CUST-00202,Company_202 Lda,Retail,Bronze,50000
203,CUST-00203,Company_203 Lda,Retail,Bronze,10000
204,CUST-00204,Company_204 Lda,E-commerce,Bronze,150000
205,CUST-00205,Company_205 Lda,Food Distributor,Bronze,50000
206,CUST-00206,Company_206 Lda,Retail,Bronze,150000
207,CUST-00207,Company_207 Lda,Retail,Silver,150000
208,CUST-00208,Company_208 Lda,Food Distributor,Bronze,50000
209,CUST-00209,Company_209 Lda,Retail,Silver,10000
210,CUST-00210,Company_210 Lda,Retail,Silver,50000
211,CUST-00211,Company_211 Lda,Food Distributor,Bronze,10000
212,CUST-00212,Company_212 Lda,Food Distributor,Bronze,50000
213,CUST-00213,Company_213 Lda,Food Distributor,Silver,10000
214,CUST-00214,Company_214 Lda,Retail,Bronze,50000
215,CUST-00215,Company_215 Lda,E-commerce,Bronze,10000
216,CUST-00216,Company_216 Lda,Retail,Gold,10000
217,CUST-00217,Company_217 Lda,Pharmaceutical,Bronze,10000
218,CUST-00218,Company_218 Lda,E-commerce,Silver,10000
219,CUST-00219,Company_219 Lda,Food Distributor,Gold,50000
