VehicleKey,LicensePlate,VehicleType,CapacityKg
1,61-PT-24,18-Wheeler,12000
2,81-PT-30,18-Wheeler,1500
3,92-XX-84,18-Wheeler,24000
4,97-PT-33,Van,1500
5,12-PT-11,Van,1500
6,97-ZZ-39,18-Wheeler,24000
7,47-BB-73,Van,1500
8,69-PT-42,Van,12000
9,85-BB-31,18-Wheeler,1500
10,98-AA-68,Van,24000
11,51-ZZ-69,Refrigerated Lorry,24000
12,89-XX-64,Refrigerated Lorry,24000
13,73-AA-12,Refrigerated Lorry,1500
14,60-PT-82,Van,24000
15,48-BB-13,Van,24000
16,98-ZZ-23,Refrigerated Lorry,1500
17,18-BB-62,Van,12000
18,11-ZZ-69,Refrigerated Lorry,1500
19,80-ZZ-17,Refrigerated Lorry,24000
20,56-XX-87,Refrigerated Lorry,24000
21,90-ZZ-59,Van,1500
22,13-BB-15,Van,12000
23,63-BB-13,Refrigerated Lorry,24000
24,63-PT-72,Van,24000
25,27-BB-53,Van,24000
26,43-BB-71,18-Wheeler,1500
27,23-ZZ-71,Refrigerated Lorry,24000
28,49-PT-89,18-Wheeler,12000
29,91-PT-33,18-Wheeler,24000
30,35-AA-69,Van,24000
31,50-PT-24,18-Wheeler,12000
32,54-AA-98,Refrigerated Lorry,24000
33,80-AA-97,Van,1500
34,10-ZZ-17,18-Wheeler,1500
35,97-XX-90,Refrigerated Lorry,1500
36,17-XX-44,18-Wheeler,12000
37,42-XX-14,18-Wheeler,24000
38,50-ZZ-16,18-Wheeler,1500
39,82-ZZ-43,Van,12000
40,42-PT-53,Van,24000
41,95-XX-44,Refrigerated Lorry,12000
42,74-XX-56,Refrigerated Lorry,1500
43,87-XX-10,Refrigerated Lorry,1500
44,14-BB-23,Refrigerated Lorry,1500
45,36-AA-88,18-Wheeler,12000
46,24-BB-51,18-Wheeler,12000
47,86-XX-72,18-Wheeler,1500
48,61-PT-13,18-Wheeler,12000
49,32-PT-24,18-Wheeler,1500
50,52-PT-45,18-Wheeler,1500
51,22-XX-95,Refrigerated Lorry,24000
52,37-BB-51,Van,12000
53,54-AA-15,Van,1500
54,37-ZZ-53,Van,1500
55,93-XX-98,18-Wheeler,12000
56,71-AA-10,Van,24000
57,36-AA-86,Van,24000
58,12-XX-18,18-Wheeler,1500
59,71-PT-60,Van,12000
60,53-XX-41,18-Wheeler,24000
61,97-AA-61,Van,12000
62,71-AA-67,Van,12000
63,61-ZZ-48,Refrigerated Lorry,1500
64,11-XX-65,Van,24000
65,90-XX-11,Van,1500
66,11-ZZ-63,18-Wheeler,24000
67,96-PT-10,18-Wheeler,24000
68,28-BB-62,Van,24000
69,53-BB-41,18-Wheeler,24000
70,79-ZZ-64,Van,24000
71,84-XX-26,Van,12000
72,47-PT-79,18-Wheeler,1500
73,95-XX-25,18-Wheeler,12000
74,82-ZZ-68,18-Wheeler,24000
75,79-PT-12,18-Wheeler,1500
76,29-ZZ-68,Refrigerated Lorry,24000
77,45-XX-76,18-Wheeler,1500
78,28-ZZ-80,Van,12000
79,61-AA-42,18-Wheeler,1500
80,49-BB-10,Van,1500
81,20-ZZ-66,Van,1500
82,98-BB-32,Van,1500
83,40-BB-16,Van,1500
84,25-BB-69,Refrigerated Lorry,24000
85,11-AA-57,Refrigerated Lorry,1500
86,21-PT-46,18-Wheeler,1500
87,41-XX-18,Van,12000
88,28-XX-29,Van,1500
89,33-AA-33,Van,12000
90,84-AA-81,Van,24000
91,45-ZZ-98,18-Wheeler,1500
92,34-PT-27,18-Wheeler,12000
93,91-BB-63,18-Wheeler,12000
94,44-PT-50,Van,24000
95,42-ZZ-42,Refrigerated Lorry,1500
96,23-PT-57,18-Wheeler,1500
97,29-XX-26,18-Wheeler,12000
98,42-ZZ-68,18-Wheeler,1500
99,95-PT-60,Van,12000
100,63-XX-36,Van,1500
