DeliveryKey,DateKey,ShipmentKey,StatusKey,DistanceKm,OnTimeFlag
100001,20241016,4193,1,295.55,0
100002,20241122,21347,1,14.01,1
100003,20250806,2635,1,101.58,1
100004,20250614,27809,1,272.33,1
100005,20240220,27718,1,55.62,1
100006,20230823,2295,1,389.08,1
100007,20230826,15007,1,24.95,1
100008,20231023,20610,1,25.02,1
100009,20241125,11192,1,352.32,1
100010,20250421,28824,3,231.78,1
100011,20250806,26018,4,124.81,1
100012,20240510,1518,1,109.85,1
100013,20230909,361,1,248.07,1
100014,20250808,6974,2,228.22,1
100015,20231210,29129,1,305.73,1
100016,20230901,4159,3,196.97,1
100017,20241005,2711,1,81.62,0
100018,20240926,14718,1,119.08,1
100019,20250110,3783,1,214.06,1
100020,20230617,24850,1,241.68,1
100021,20241027,34268,1,205.06,1
100022,20251213,12079,1,94.64,1
100023,20231108,32505,1,143.11,1
100024,20251121,20507,3,285.91,1
100025,20241015,33907,1,43.37,1
100026,20250206,13487,1,134.31,1
100027,20250720,12185,1,237.55,1
100028,20250202,9000,1,406.17,1
100029,20230613,4104,1,63.95,1
100030,20240129,1102,1,308.91,1
100031,20240104,4580,1,229.06,1
100032,20251201,6001,1,189.45,1
100033,20250602,13548,1,359.48,1
100034,20240509,25055,1,284.77,0
100035,20250414,11077,1,289.52,1
100036,20240930,21860,4,111.69,1
100037,20230629,26450,1,224.53,1
100038,20250731,33285,1,95.38,1
100039,20251118,22360,1,172.34,1
100040,20230206,20634,1,128.48,1
100041,20241213,9935,1,438.94,0
100042,20250104,34608,1,341.02,1
100043,20230425,21724,1,304.34,1
100044,20240911,29951,1,393.48,1
100045,20250615,13055,1,449.13,1
100046,20250108,17792,2,423.92,1
100047,20230513,6024,1,67.87,1
100048,20231017,21020,1,84.67,1
100049,20250725,6275,2,264.65,1
100050,20250527,1098,1,220.81,1
100051,20251118,14527,1,164.33,1
100052,20241021,31434,1,244.16,1
100053,20251115,24008,1,52.21,1
100054,20230810,564,1,157.93,1
100055,20241126,30807,1,226.74,1
100056,20250702,2647,1,247.17,1
100057,20230310,11316,1,415.45,1
100058,20231207,30226,1,219.78,1
100059,20240924,8914,2,10.33,0
100060,20250905,9159,1,118.06,1
100061,20250317,1206,2,315.85,1
100062,20250216,18367,1,441.97,1
100063,20230704,3514,2,139.55,1
100064,20250313,5392,1,219.43,1
100065,20250521,21353,1,85.04,0
100066,20240504,32956,1,319.86,1
100067,20241225,8041,1,35.91,1
100068,20231215,26279,1,104.9,1
100069,20250404,33439,1,121.87,1
100070,20250302,22110,1,103.61,0
100071,20240106,22182,1,199.48,1
100072,20250803,4007,1,96.86,1
100073,20230809,22602,1,156.92,1
100074,20231229,11564,1,251.09,1
100075,20230214,14242,1,96.67,1
100076,20250119,31297,1,27.91,1
100077,20250131,7681,1,66.43,1
100078,20241216,5043,1,181.67,1
100079,20240928,14121,1,107.0,1
100080,20231220,30859,1,53.09,1
100081,20240426,7002,1,165.55,1
100082,20240905,29138,1,209.89,1
100083,20250508,23212,1,304.59,1
100084,20230602,33180,1,388.65,1
100085,20230705,10821,1,330.3,1
100086,20240404,9489,1,325.98,1
100087,20251209,4440,1,200.52,0
