OrderKey,DateKey,CustomerKey,BranchKey,ProductKey,Qty,UnitPrice,Discount,NetRevenue
100001,20241115,979,2,153,45,412.43,1855.94,16703.41
100002,20240821,1202,1,461,30,412.43,1237.29,11135.61
100003,20231203,725,3,28,84,412.43,0.0,34644.12
100004,20230111,980,3,135,88,412.43,3629.38,32664.460000000003
100005,20240802,9,1,31,56,412.43,2309.61,20786.47
100006,20231201,1375,4,46,93,412.43,0.0,38355.99
100007,20250412,776,4,182,56,412.43,0.0,23096.08
100008,20230208,203,1,273,91,412.43,0.0,37531.13
100009,20241104,263,2,460,33,412.43,0.0,13610.19
100010,20251122,1173,2,274,81,412.43,0.0,33406.83
100011,20230815,1009,3,363,95,412.43,0.0,39180.85
100012,20240707,1116,4,19,55,412.43,0.0,22683.65
100013,20230513,565,3,210,39,412.43,0.0,16084.77
100014,20241205,527,3,124,97,412.43,0.0,40005.71
100015,20241002,1480,2,340,71,412.43,0.0,29282.53
100016,20240420,1484,3,184,47,412.43,0.0,19384.21
100017,20240829,1477,2,389,31,412.43,1278.53,11506.8
100018,20251015,1224,3,462,90,412.43,0.0,37118.7
100019,20230908,1061,2,142,67,412.43,0.0,27632.81
100020,20230206,1412,1,7,65,412.43,0.0,26807.95
100021,20250906,980,3,417,81,412.43,0.0,33406.83
100022,20241028,662,2,19,75,412.43,0.0,30932.25
100023,20251009,1457,3,214,30,412.43,0.0,12372.9
100024,20241113,548,3,358,12,412.43,0.0,4949.16
100025,20250713,94,4,325,8,412.43,0.0,3299.44
100026,20240518,865,4,138,32,412.43,0.0,13197.76
100027,20250503,1215,3,223,78,412.43,0.0,32169.54
100028,20251030,476,3,215,62,412.43,0.0,25570.66
100029,20241023,166,2,486,96,412.43,0.0,39593.28
100030,20230822,1064,3,110,97,412.43,0.0,40005.71
100031,20231118,1088,3,440,77,412.43,0.0,31757.11
100032,20230911,1476,2,15,58,412.43,0.0,23920.94
100033,20231031,997,3,259,81,412.43,0.0,33406.83
100034,20231214,382,2,97,55,412.43,0.0,22683.65
100035,20241007,447,4,213,42,412.43,1732.21,15589.850000000002
100036,20241106,275,2,457,17,412.43,0.0,7011.31
100037,20240514,1102,3,287,64,412.43,0.0,26395.52
100038,20241128,125,2,71,35,412.43,0.0,14435.050000000001
100039,20230501,521,1,228,90,412.43,0.0,37118.7
100040,20230508,1313,2,23,88,412.43,0.0,36293.840000000004
100041,20230812,1151,3,48,67,412.43,2763.28,24869.530000000002
100042,20240825,216,3,88,55,412.43,2268.37,20415.280000000002
100043,20230929,1130,3,371,11,412.43,0.0,4536.7300000000005
100044,20231129,725,4,59,96,412.43,3959.33,35633.95
100045,20240410,597,1,75,70,412.43,2887.01,25983.090000000004
100046,20250714,57,2,55,53,412.43,0.0,21858.79
100047,20230123,744,2,226,21,412.43,0.0,8661.03
100048,20241220,1304,3,322,52,412.43,2144.64,19301.72
100049,20250104,614,2,126,16,412.43,0.0,6598.88
100050,20250630,172,2,336,94,412.43,3876.84,34891.58
100051,20251115,1129,1,127,71,412.43,2928.25,26354.28
100052,20230202,6,3,471,60,412.43,0.0,24745.8
100053,20230724,1058,3,235,62,412.43,2557.07,23013.59
100054,20251005,921,3,436,77,412.43,0.0,31757.11
100055,20240622,539,3,454,55,412.43,0.0,22683.65
100056,20241016,517,1,130,30,412.43,1237.29,11135.61
100057,20241229,472,3,278,84,412.43,0.0,34644.12
100058,20250120,1279,1,69,63,412.43,0.0,25983.09
100059,20251115,556,4,237,16,412.43,0.0,6598.88
100060,20251230,866,1,219,63,412.43,0.0,25983.09
100061,20250323,605,4,344,79,412.43,0.0,32581.97
100062,20231202,247,1,147,32,412.43,0.0,13197.76
100063,20250928,773,3,98,87,412.43,0.0,35881.41
100064,20230318,317,4,132,45,412.43,0.0,18559.35
100065,20231016,1275,3,67,18,412.43,0.0,7423.74
100066,20251015,754,3,162,33,412.43,0.0,13610.19
100067,20231108,1372,1,7,56,412.43,0.0,23096.08
100068,20231006,1099,3,457,85,412.43,0.0,35056.55
100069,20230707,240,3,257,87,412.43,3588.14,32293.270000000004
100070,20250903,136,3,177,21,412.43,866.1,7794.93
100071,20240806,227,2,412,7,412.43,0.0,2887.01
100072,20250113,459,2,228,52,412.43,2144.64,19301.72
100073,20231024,892,4,118,27,412.43,0.0,11135.61
100074,20250512,755,4,456,20,412.43,824.86,7423.740000000001
100075,20250515,939,4,46,8,412.43,0.0,3299.44
100076,20231218,1110,3,138,13,412.43,0.0,5361.59
100077,20240425,937,4,175,7,412.43,288.7,2598.3100000000004
100078,20230924,1484,2,345,37,412.43,0.0,15259.91
100079,20251216,1136,3,283,91,412.43,0.0,37531.13
100080,20241218,69,1,259,43,412.43,1773.45,15961.04
100081,20251117,994,3,420,27,412.43,0.0,11135.61
100082,20231212,1386,1,496,4,412.43,0.0,1649.72
100083,20250610,286,1,473,69,412.43,0.0,28457.670000000002
100084,20250522,1467,1,237,39,412.43,1608.48,14476.29
100085,20250209,151,2,350,33,412.43,0.0,13610.19
100086,20251209,441,4,400,91,412.43,3753.11,33778.02
100087,20240401,921,3,419,47,412.43,0.0,19384.21
100088,20230629,1200,3,149,14,412.43,0.0,5774.02
100089,20250108,1053,4,429,29,412.43,0.0,11960.47
100090,20250405,597,3,296,4,412.43,0.0,1649.72
100091,20241026,741,3,499,3,412.43,123.73,1113.56
100092,20230921,685,3,342,15,412.43,0.0,6186.45
100093,20240811,553,1,388,87,412.43,3588.14,32293.270000000004
100094,20231218,713,3,353,61,412.43,2515.82,22642.41
100095,20240515,375,3,415,87,412.43,0.0,35881.41
100096,20241218,431,1,353,93,412.43,0.0,38355.99
100097,20250427,612,1,168,55,412.43,0.0,22683.65
100098,20231017,1409,3,492,73,412.43,0.0,30107.39
100099,20240417,1375,4,127,58,412.43,0.0,23920.94
100100,20231118,916,3,148,28,412.43,0.0,11548.04
100101,20230911,1244,3,332,91,412.43,0.0,37531.13
100102,20250612,494,4,30,15,412.43,618.64,5567.8099999999995
100103,20251027,1171,1,314,16,412.43,659.89,5938.99
100104,20240229,577,1,56,93,412.43,0.0,38355.99
100105,20250504,202,3,97,16,412.43,0.0,6598.88
100106,20251015,413,1,411,53,412.43,0.0,21858.79
100107,20250820,220,1,276,23,412.43,0.0,9485.89
100108,20230824,812,4,490,41,412.43,0.0,16909.63
100109,20251203,1407,2,469,71,412.43,2928.25,26354.28
100110,20240309,927,3,182,46,412.43,0.0,18971.78
100111,20240110,617,2,260,75,412.43,3093.23,27839.02
100112,20230405,251,1,93,89,412.43,3670.63,33035.64000000001
100113,20240722,975,2,324,69,412.43,0.0,28457.670000000002
100114,20230603,1302,3,56,21,412.43,0.0,8661.03
100115,20231101,749,3,11,47,412.43,0.0,19384.21
100116,20231221,715,1,35,12,412.43,0.0,4949.16
100117,20250711,1078,1,52,10,412.43,412.43,3711.8700000000003
100118,20250923,438,3,164,44,412.43,0.0,18146.920000000002
100119,20231212,1235,1,409,57,412.43,0.0,23508.510000000002
100120,20250903,518,1,318,46,412.43,0.0,18971.78
100121,20250901,1225,4,171,43,412.43,0.0,17734.49
100122,20250520,876,1,162,83,412.43,0.0,34231.69
100123,20230716,797,3,61,2,412.43,0.0,824.86
100124,20250207,1067,1,198,96,412.43,0.0,39593.28
100125,20251125,707,4,45,83,412.43,0.0,34231.69
100126,20250126,1010,3,395,36,412.43,0.0,14847.48
100127,20231231,248,3,413,65,412.43,2680.8,24127.15
100128,20240807,1389,3,426,60,412.43,0.0,24745.8
100129,20241218,1342,3,412,21,412.43,0.0,8661.03
100130,20240817,781,4,194,21,412.43,0.0,8661.03
100131,20230616,1395,1,291,70,412.43,0.0,28870.100000000002
100132,20231218,188,1,298,78,412.43,3216.95,28952.59
100133,20250704,271,2,451,70,412.43,2887.01,25983.090000000004
100134,20250906,1282,3,373,74,412.43,3051.98,27467.84
100135,20230706,626,1,92,16,412.43,0.0,6598.88
100136,20251201,1266,3,66,48,412.43,1979.66,17816.98
100137,20231229,94,3,365,85,412.43,3505.66,31550.890000000003
100138,20241229,694,2,76,50,412.43,0.0,20621.5
100139,20250505,508,3,496,85,412.43,3505.66,31550.890000000003
100140,20250714,988,4,134,64,412.43,0.0,26395.52
100141,20251126,295,2,114,6,412.43,0.0,2474.58
100142,20231219,480,2,297,95,412.43,0.0,39180.85
100143,20250902,1044,3,156,96,412.43,0.0,39593.28
100144,20230630,762,4,302,53,412.43,0.0,21858.79
100145,20250302,1428,2,101,93,412.43,3835.6,34520.39
100146,20250422,419,3,14,72,412.43,2969.5,26725.46
100147,20250118,416,4,279,42,412.43,0.0,17322.06
100148,20231105,529,1,76,61,412.43,2515.82,22642.41
100149,20250920,1160,3,488,91,412.43,0.0,37531.13
100150,20230809,661,2,365,7,412.43,0.0,2887.01
100151,20230324,663,1,412,28,412.43,0.0,11548.04
100152,20250319,115,2,74,1,412.43,0.0,412.43
100153,20240711,859,3,71,77,412.43,0.0,31757.11
100154,20250823,180,3,392,31,412.43,0.0,12785.33
100155,20240318,648,1,251,83,412.43,3423.17,30808.520000000004
100156,20230808,611,1,247,20,412.43,0.0,8248.6
100157,20250810,325,3,337,55,412.43,0.0,22683.65
100158,20241001,190,1,183,81,412.43,0.0,33406.83
100159,20230831,961,3,169,66,412.43,0.0,27220.38
100160,20250323,1215,3,478,55,412.43,0.0,22683.65
100161,20240818,728,4,413,14,412.43,0.0,5774.02
100162,20241119,672,1,366,16,412.43,0.0,6598.88
100163,20240625,823,3,384,45,412.43,1855.94,16703.41
100164,20250801,1313,2,147,39,412.43,0.0,16084.77
100165,20250802,1190,2,377,5,412.43,0.0,2062.15
100166,20250308,1282,3,298,41,412.43,0.0,16909.63
100167,20230530,236,1,320,46,412.43,0.0,18971.78
100168,20250812,1418,1,169,38,412.43,0.0,15672.34
100169,20250107,741,1,486,97,412.43,4000.57,36005.14
100170,20250218,578,2,451,25,412.43,0.0,10310.75
100171,20240217,460,1,262,95,412.43,0.0,39180.85
100172,20250927,734,4,174,85,412.43,0.0,35056.55
100173,20250330,1039,3,200,67,412.43,0.0,27632.81
100174,20230607,471,1,127,14,412.43,577.4,5196.620000000001
100175,20240421,884,2,399,65,412.43,2680.8,24127.15
100176,20251005,829,3,263,42,412.43,0.0,17322.06
100177,20230315,671,1,12,98,412.43,0.0,40418.14
100178,20251207,1269,2,65,99,412.43,4083.06,36747.51
100179,20250120,251,1,51,68,412.43,2804.52,25240.72
100180,20241209,1190,2,121,74,412.43,0.0,30519.82
100181,20231119,1230,4,109,4,412.43,0.0,1649.72
100182,20231102,1145,3,370,66,412.43,0.0,27220.38
100183,20251123,683,3,400,50,412.43,0.0,20621.5
100184,20231209,279,3,284,47,412.43,0.0,19384.21
100185,20250602,1001,2,204,10,412.43,412.43,3711.8700000000003
100186,20240331,1243,3,482,99,412.43,0.0,40830.57
100187,20230708,1224,3,50,47,412.43,1938.42,17445.79
