ShipmentKey,DateKey,VehicleKey,DriverKey,TotalWeightKg,FreightCost
1,20250502,87,91,19627.33,898.82
2,20230304,82,8,18499.81,1242.57
3,20250406,35,102,12176.97,1001.48
4,20250305,67,33,14173.65,1476.23
5,20241119,65,57,16521.85,155.31
6,20230415,17,12,16496.12,378.66
7,20240525,42,101,12183.04,1291.91
8,20240120,59,37,5407.45,649.73
9,20240209,70,15,6597.83,1190.29
10,20250402,11,17,13480.15,1460.35
11,20240601,78,37,13913.07,926.33
12,20240420,28,51,7743.6,1032.37
13,20241209,39,106,17811.41,638.28
14,20250209,54,29,8301.26,1358.9
15,20251112,100,3,14120.74,1038.45
16,20250923,11,75,4583.23,945.55
17,20241107,58,26,7385.1,138.68
18,20241214,40,104,11148.41,792.46
19,20230324,4,45,1233.87,1493.13
20,20240401,64,6,1317.2,728.92
21,20230101,48,99,5761.61,1439.84
22,20230220,70,88,16641.52,1474.01
23,20241115,83,115,4721.77,1004.94
24,20241217,31,103,17774.66,520.14
25,20240324,2,98,14463.2,373.66
26,20250530,43,54,13933.96,864.58
27,20240502,89,88,13645.31,246.94
28,20230203,41,19,19538.05,808.45
29,20230405,60,13,12856.81,1020.81
30,20251231,75,57,13160.89,714.59
31,20230603,46,107,9341.28,310.63
32,20230907,40,73,17509.98,1227.73
33,20241104,59,83,1619.38,857.58
34,20240313,45,115,7213.94,478.53
35,20230428,42,96,6089.92,121.97
36,20250209,21,85,8260.18,861.87
37,20230925,3,96,9858.26,1174.12
38,20251213,66,57,19143.71,609.5
39,20230824,11,46,18527.47,1025.43
40,20240124,24,12,12419.68,1213.95
41,20250916,50,29,887.5,757.6
42,20250201,88,97,11334.87,478.22
43,20240205,21,65,1835.5,679.32
44,20240915,25,49,7514.76,1165.71
45,20250205,4,4,6437.35,405.77
46,20250707,43,77,13137.58,457.26
47,20250502,47,87,848.64,603.62
48,20240731,23,28,15879.73,978.53
49,20230316,60,107,16615.21,437.09
50,20240310,88,50,1130.8,793.01
51,20230413,21,12,2095.35,989.05
52,20250202,66,83,18453.29,830.44
53,20250107,87,116,12511.67,109.42
54,20250316,51,97,19226.8,800.3
55,20230408,15,18,9423.16,598.02
56,20250308,58,98,4217.38,164.17
57,20250508,26,94,7718.43,1381.25
58,20240310,90,107,18615.34,1009.2
59,20240322,92,111,2748.5,1378.73
60,20230906,59,111,17898.0,527.68
61,20230615,90,6,10829.99,1393.77
62,20250910,45,68,1866.04,718.03
63,20251016,66,76,8295.31,552.67
64,20240625,35,23,5243.36,1278.27
65,20250128,96,28,11717.98,161.27
66,20230322,94,75,3472.77,1124.3
67,20230513,64,92,18854.79,1310.21
